source_text,original_description,cleaned_description,prefill_merchant_in_csv,local_provider,local_direction,local_counterparty,local_pick_merchant,local_is_unknown,server_provider,server_direction,server_counterparty,server_prefill_merchant,server_ai_merchant,server_final_decision,final_decision,decision_source
"ISTOURS, INC. FOLSOM",,,ISTOURS,unknown,,,"Istours, Inc. Folsom",0,,,,,,,"Istours, Inc. Folsom",local
MARIANELA CARDENAS DDS MIAMI,,,Marianela Cardenas DDS,unknown,,,Marianela Cardenas Dds Miami,0,,,,,,,Marianela Cardenas Dds Miami,local
Miami DD Club LLC Miami,,,Miami DD Club,unknown,,,Miami Dd Club Llc,0,,,,,,,Miami Dd Club Llc,local
Miami DD Club LLC Miami,,,Miami DD Club,unknown,,,Miami Dd Club Llc,0,,,,,,,Miami Dd Club Llc,local
PASTIS MIAMI MIAMI,,,Pastis,unknown,,,Pastis Miami Miami,0,,,,,,,Pastis Miami Miami,local
SHE GIULIANI SALON & S DORAL,,,She Giuliani Salon & Spa,unknown,,,She Giuliani Salon S,0,,,,,,,She Giuliani Salon S,local
ZELLE TO SEBASTIAN CAMINERO ON 04/18,,,Sebastian Caminero,zelle,to,SEBASTIAN CAMINERO ON 04,Zelle To SEBASTIAN CAMINERO ON 04,0,,,,,,,Zelle To SEBASTIAN CAMINERO ON 04,local
GOOGLE *YT PRIMETIME G.CO/HELPPAY#,,,Google,unknown,,,Google Yt Primetime G.Co/Helppay,0,,,,,,,Google Yt Primetime G.Co/Helppay,local
AMAZON RETA* WS6OY06L3 SEATTLE,,,Amazon,unknown,,,Amazon Reta Seattle,0,,,,,,,Amazon Reta Seattle,local
QDI*QUEST DIAGNOSTICS 866-697-8378,,,Quest Diagnostics,unknown,,,Qdi Quest Diagnostics,0,,,,,,,Qdi Quest Diagnostics,local
QDI*QUEST DIAGNOSTICS 866-697-8378,,,Quest Diagnostics,unknown,,,Qdi Quest Diagnostics,0,,,,,,,Qdi Quest Diagnostics,local
QDI*QUEST DIAGNOSTICS 866-697-8378,,,Quest Diagnostics,unknown,,,Qdi Quest Diagnostics,0,,,,,,,Qdi Quest Diagnostics,local
SMH CASHIERS OFFICE CORAL GABLES,,,SMH Cashiers Office,unknown,,,Smh Cashiers Office Coral,0,,,,,,,Smh Cashiers Office Coral,local
TST*LA FERNETERIA MIAMI,,,La Ferneteria,unknown,,,Tst La Ferneteria Miami,0,,,,,,,Tst La Ferneteria Miami,local
FPL DIRECT DEBIT ELEC PYMT 04/25 PPDA MICHEL R FALENI,,,FPL,unknown,,,Fpl Direct Elec Pymt,0,,,,,,,Fpl Direct Elec Pymt,local
JPMorgan Chase Ext Trnsfr 250417 MICHEL FALENI FERNANDE,,,Car Mich,unknown,,,Jpmorgan Chase Ext Trnsfr,0,,,,,,,Jpmorgan Chase Ext Trnsfr,local
Cash eWithdrawal in Branch 04/17/2025 09:29 AM 169 SW 8TH ST MIAMI FL 3222,,,Cash,unknown,,,Cash Ewithdrawal In Branch,0,,,,,,,Cash Ewithdrawal In Branch,local
ONLINE TRANSFER TO PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,To Personal Line Of,0,,,,,,,To Personal Line Of,local
PAYPAL *KYOTOPOPSLT,,,PayPal,unknown,,,Paypal Kyotopopslt,0,,,,,,,Paypal Kyotopopslt,local
AMAZON MKTPL*M84MG8TH3 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
RECURRING TRANSFER TO FALENI M PLATINUM SAVINGS,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
ZELLE FROM DANIEL LOPEZ ON 04/16 REF # PNCAA0ROR68I,,,Daniel Lopez,zelle,from,DANIEL LOPEZ ON 04,Zelle From DANIEL LOPEZ ON 04,0,,,,,,,Zelle From DANIEL LOPEZ ON 04,local
ZELLE TO THE 305 PROJECT MAIN ON 04/16 PAYBACK PRESTAMO DELAFLOR,,,The 305 Project,zelle,to,THE 305 PROJECT MAIN ON 04,Zelle To THE 305 PROJECT MAIN ON 04,0,,,,,,,Zelle To THE 305 PROJECT MAIN ON 04,local
INTEREST CHARGED TO STANDARD PURCH,,,Financial Transactions,unknown,,,Charged To Standard Purch,0,,,,,,,Charged To Standard Purch,local
LATE FEE - MAR PAYMENT PAST DUE,,,Financial Transactions,unknown,,,Late Mar Payment Past,0,,,,,,,Late Mar Payment Past,local
NATL GEN INS*RECURRING 800-462-2123,,,National General Insurance,unknown,,,Natl Gen Ins Recurring,0,,,,,,,Natl Gen Ins Recurring,local
IRS USATAXPYMT 041525 MICHEL & ANDREINA FALE,,,IRS,unknown,,,Irs Usataxpymt Michel Andreina,0,,,,,,,Irs Usataxpymt Michel Andreina,local
RECURRING TRANSFER FROM FALENI M CHECKING SUELDO MICH,,,Transfers,unknown,,,Recurring From Faleni M,0,,,,,,,Recurring From Faleni M,local
Celebrity Cruises,,,Celebrity Cruises,unknown,,,Celebrity Cruises,0,,,,,,,Celebrity Cruises,local
AMAZON MKTPL*YR9SF5I13 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
"BUS TELE SVCS DIRECT DEP 250415A2Q FALENI,MICHEL",,,BTS,unknown,,,Bus Tele Svcs Direct,0,,,,,,,Bus Tele Svcs Direct,local
CITI CARD ONLINE PAYMENT 250414 MICHEL FALENI,,,Citi Card,unknown,,,Citi Card Michel Faleni,0,,,,,,,Citi Card Michel Faleni,local
RECURRING TRANSFER TO FALENI M CHECKING SUELDO MICH,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
ZELLE FROM DANIEL LOPEZ ON 04/15 REF # PNCAA0RNQ18Q,,,Daniel Lopez,zelle,from,DANIEL LOPEZ ON 04,Zelle From DANIEL LOPEZ ON 04,0,,,,,,,Zelle From DANIEL LOPEZ ON 04,local
"ONLINE PAYMENT, THANK YOU",,,Financial Transactions,unknown,,,Thank You,0,,,,,,,Thank You,local
USPS.COM CLICKNSHIP 800-3447779,,,USPS,unknown,,,Usps.Com Clicknship,0,,,,,,,Usps.Com Clicknship,local
WM SUPERCENTER #2091 DORAL,,,Walmart,unknown,,,Wm Supercenter Doral,0,,,,,,,Wm Supercenter Doral,local
BMW BANK BMWFS PYMT 250411,,,Moto,unknown,,,Bmw Bank Bmwfs Pymt,0,,,,,,,Bmw Bank Bmwfs Pymt,local
ONLINE TRANSFER FROM FALENI M CHECKING TAXES 2024,,,Transfers,unknown,,,From Faleni M Checking,0,,,,,,,From Faleni M Checking,local
ONLINE TRANSFER FROM PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,From Personal Line Of,0,,,,,,,From Personal Line Of,local
ONLINE TRANSFER TO BROUGH A EVERYDAY CHECKING GYM,,,Transfers,unknown,,,To Brough A Everyday,0,,,,,,,To Brough A Everyday,local
EVO.COM             SEATTLE,,,EVO.COM,unknown,,,Evo.Com Seattle,0,,,,,,,Evo.Com Seattle,local
ONLINE TRANSFER FROM PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,From Personal Line Of,0,,,,,,,From Personal Line Of,local
ONLINE TRANSFER TO FALENI M CHECKING TAXES 2024,,,Transfers,unknown,,,To Faleni M Checking,0,,,,,,,To Faleni M Checking,local
ZELLE FROM DANIEL LOPEZ ON 04/13 REF # PNCAA0RLU52M PRUEBA,,,Daniel Lopez,zelle,from,DANIEL LOPEZ ON 04,Zelle From DANIEL LOPEZ ON 04,0,,,,,,,Zelle From DANIEL LOPEZ ON 04,local
ZELLE FROM EDELL JAKOB ON 04/14 REF # PP0YQBYP47 SEAT,,,Edel Jako,zelle,from,EDELL JAKOB ON 04,Zelle From EDELL JAKOB ON 04,0,,,,,,,Zelle From EDELL JAKOB ON 04,local
ZELLE TO DELAFLOR DANNILO ON 04/13,,,DelaFlor Dannilo,zelle,to,DELAFLOR DANNILO ON 04,Zelle To DELAFLOR DANNILO ON 04,0,,,,,,,Zelle To DELAFLOR DANNILO ON 04,local
ZELLE TO DELAFLOR DANNILO ON 04/13 PRUEBA,,,DelaFlor Dannilo,zelle,to,DELAFLOR DANNILO ON 04,Zelle To DELAFLOR DANNILO ON 04,0,,,,,,,Zelle To DELAFLOR DANNILO ON 04,local
HOTEL SANCTUARY HIGUEY DOM,,,Hotel Sanctuary,unknown,,,Hotel Sanctuary Higuey Dom,0,,,,,,,Hotel Sanctuary Higuey Dom,local
MINIMARKET HIGUEY DOM,,,Minimarket,unknown,,,Minimarket Higuey Dom,0,,,,,,,Minimarket Higuey Dom,local
BARK FOR C* BARK FOR C DORAL,,,Bark for C,unknown,,,Bark For C Bark,0,,,,,,,Bark For C Bark,local
DONS LIQUOR,,,Dons Liquor,unknown,,,Dons Liquor,0,,,,,,,Dons Liquor,local
JAGUAR LAND ROVER CGCORAL GABLES,,,Jaguar Land Rover,unknown,,,Jaguar Land Rover Cgcoral,0,,,,,,,Jaguar Land Rover Cgcoral,local
UM MY CHART BILLING MIAMI,,,UM My Chart,unknown,,,Um My Chart Billing,0,,,,,,,Um My Chart Billing,local
COINBASE INC. 7E0E1DA0 250411 RTL-6MJ7WABZ MICHEL FALENI,,,Coinbase,unknown,,,Coinbase Inc. Rtl- Michel,0,,,,,,,Coinbase Inc. Rtl- Michel,local
Coinbase Inc. 250411 RTL-PJN9LBL2 MICHEL FALENI,,,Coinbase,unknown,,,Coinbase Inc. Rtl- Michel,0,,,,,,,Coinbase Inc. Rtl- Michel,local
HOTEL SANCTUARY HIGUEY DOM,,,Hotel Sanctuary,unknown,,,Hotel Sanctuary Higuey Dom,0,,,,,,,Hotel Sanctuary Higuey Dom,local
NETFLIX.COM NETFLIX.COM CA S465099353352304,,,Netflix,unknown,,,Netflix.Com Netflix.Com Ca,0,,,,,,,Netflix.Com Netflix.Com Ca,local
AT&T UVERSE PAYMENT,,,AT&T,unknown,,,At&T Uverse Payment,0,,,,,,,At&T Uverse Payment,local
KJUS NORTH AMERICA  800-848-0468,,,Kjus North America,unknown,,,Kjus North America,0,,,,,,,Kjus North America,local
RUELALA.COM         BOSTON,,,RueLaLa,unknown,,,Ruelala.Com Boston,0,,,,,,,Ruelala.Com Boston,local
EXPERIAN* CREDIT REPO COSTA MESA,,,Experian,unknown,,,Experian Repo Costa Mesa,0,,,,,,,Experian Repo Costa Mesa,local
EZ CONTACTS         RIDGEFIELD PA,,,EZ Contacts,unknown,,,Ez Contacts Ridgefield Pa,0,,,,,,,Ez Contacts Ridgefield Pa,local
Guarantee Manage RESIDENT,,,Guarantee Management,unknown,,,Guarantee Manage Resident,0,,,,,,,Guarantee Manage Resident,local
RECURRING TRANSFER TO FALENI M PLATINUM SAVINGS CAR INSURANCE REPAYMENT TO SAVINGS,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
SUNPASS*ACC613078 888-865-5352 FL S305094517692178,,,SunPass,unknown,,,Sunpass Fl,0,,,,,,,Sunpass Fl,local
AMAZON MKTPL*TW3YA9V63 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*TW9Y04YZ3 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*ZT7ST6963 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
MB-PARKING PARKMOBILE MIAMI BEACH,,,MB-Parking,unknown,,,Mb-Parking Parkmobile Miami Beach,0,,,,,,,Mb-Parking Parkmobile Miami Beach,local
TRAVELASSIST CAMDEN,,,TravelAssist,unknown,,,Travelassist Camden,0,,,,,,,Travelassist Camden,local
WAL-MART #2091 DORAL,,,Walmart,unknown,,,Wal-Mart Doral,0,,,,,,,Wal-Mart Doral,local
WAL-MART #2091 DORAL,,,Walmart,unknown,,,Wal-Mart Doral,0,,,,,,,Wal-Mart Doral,local
PROYECTO C.CAMPO-ALOLA ROMANA,,,Proyecto,unknown,,,Proyecto C.Campo-Alola Romana,0,,,,,,,Proyecto C.Campo-Alola Romana,local
CHEVRON 0204900 855-285-9595,,,Chevron,unknown,,,Chevron,0,,,,,,,Chevron,local
FANDANGO *,,,Fandango,unknown,,,Fandango,0,,,,,,,Fandango,local
FANDANGO *,,,Fandango,unknown,,,Fandango,0,,,,,,,Fandango,local
LAS MERCEDES GRILL DORAL,,,Las Mercedes Grill,unknown,,,Las Mercedes Grill Doral,0,,,,,,,Las Mercedes Grill Doral,local
MEAT CLUB MARKET DORAL,,,Meat Club Market,unknown,,,Meat Club Market Doral,0,,,,,,,Meat Club Market Doral,local
SQ *CARACAS BAKERY DOR Doral,,,Caracas Bakery,unknown,,,Sq Caracas Bakery Dor,0,,,,,,,Sq Caracas Bakery Dor,local
BTS NORTH F& B      DORAL,,,BTS North F&B,unknown,,,Bts North F& B,0,,,,,,,Bts North F& B,local
BTS NORTH F& B      DORAL,,,BTS NORTH F& B,unknown,,,Bts North F& B,0,,,,,,,Bts North F& B,local
AMAZON MKTPL*LD0TT6JZ3 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
AMAZON RETA* E615N7A83 SEATTLE,,,Amazon,unknown,,,Amazon Reta Seattle,0,,,,,,,Amazon Reta Seattle,local
AMAZON RETA* L34GY1XL3 SEATTLE,,,Amazon,unknown,,,Amazon Reta Seattle,0,,,,,,,Amazon Reta Seattle,local
TDR-GRET MIAMI,,,Restaurant,unknown,,,Tdr-Gret Miami,0,,,,,,,Tdr-Gret Miami,local
TST*FRANCISCA CHARCOAL Doral,,,Francisca Charcoal,unknown,,,Tst Francisca Charcoal Doral,0,,,,,,,Tst Francisca Charcoal Doral,local
MENTA Y CANELA NAI MIAMI FL S585093809864050,,,MENTA Y CANELA,unknown,,,Menta Y Canela Nai,0,,,,,,,Menta Y Canela Nai,local
PAYPAL *METAPLATFOR,,,Metaplatfor,unknown,,,Paypal Metaplatfor,0,,,,,,,Paypal Metaplatfor,local
TST* GUSTO 00131117 DORAL,,,Gusto,unknown,,,Tst Gusto Doral,0,,,,,,,Tst Gusto Doral,local
"BK OF AMER MC ONLINE PMT 250404 CKF828154125POS FALENI FERNANDEZ,MICHE",,,Bank of America,unknown,,,Bk Of Amer Mc,0,,,,,,,Bk Of Amer Mc,local
ZELLE TO ELMER ON 04/04,,,Elmer,zelle,to,ELMER ON 04,Zelle To ELMER ON 04,0,,,,,,,Zelle To ELMER ON 04,local
DicksSportingGoods.com Coraopolis,,,Dicks Sporting Goods,unknown,,,Dickssportinggoods.Com Coraopolis,0,,,,,,,Dickssportinggoods.Com Coraopolis,local
MB-PARKING PARKMOBILE MIAMI BEACH,,,MB-PARKING,unknown,,,Mb-Parking Parkmobile Miami Beach,0,,,,,,,Mb-Parking Parkmobile Miami Beach,local
PUBLIX #655 DORAL,,,Publix,unknown,,,Publix Doral,0,,,,,,,Publix Doral,local
SAKS O5 DOLPHIN 718 MIAMI,,,SAKS,unknown,,,Saks Dolphin Miami,0,,,,,,,Saks Dolphin Miami,local
UA.COM*888-727-6687 MD BALTIMORE,,,UA,unknown,,,Ua.Com Md Baltimore,0,,,,,,,Ua.Com Md Baltimore,local
ONLINE TRANSFER TO FERNANDEZ M EVERYDAY CHECKING REINTEGRO GASTOS EXTRAS CASA,,,Fernandez M,unknown,,,To Fernandez M Everyday,0,,,,,,,To Fernandez M Everyday,local
BACKCOUNTRY,,,Backcountry,unknown,,,Backcountry,0,,,,,,,Backcountry,local
BA ELECTRONIC PAYMENT,,,Financial Transactions,unknown,,,Ba Electronic Payment,0,,,,,,,Ba Electronic Payment,local
CITI CARD ONLINE PAYMENT 250402 MICHEL FALENI,,,Financial Transactions,unknown,,,Citi Card Michel Faleni,0,,,,,,,Citi Card Michel Faleni,local
Kukenam Summer C 250401 92660535 ANDREINA FALENI ANDREI,,,Kukenam,unknown,,,Kukenam Summer C Andreina,0,,,,,,,Kukenam Summer C Andreina,local
PENNYMAC CASH Apr 25-0055 Michel Faleni,,,Balmoral Estates,unknown,,,Pennymac Cash Apr Michel,0,,,,,,,Pennymac Cash Apr Michel,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
AMAZON RETA* 124AN4H03 SEATTLE,,,Amazon,unknown,,,Amazon Reta Seattle,0,,,,,,,Amazon Reta Seattle,local
APPLECARD GSBANK PAYMENT 040125 1881361 Michel Faleni,,,Financial Transactions,unknown,,,Applecard Gsbank Payment Michel,0,,,,,,,Applecard Gsbank Payment Michel,local
Instant Pmt from BUSINESS TELECOMMUNICATIONS SE on 04/02 Ref#20250401021001088P1BAAAA00000790155,,,BUSINESS TELECOMMUNICATIONS SE,unknown,,,Instant Pmt From Business,0,,,,,,,Instant Pmt From Business,local
ONLINE TRANSFER TO PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,To Personal Line Of,0,,,,,,,To Personal Line Of,local
RECURRING TRANSFER FROM FALENI M CHECKING SUELDO MICH,,,Transfers,unknown,,,Recurring From Faleni M,0,,,,,,,Recurring From Faleni M,local
NETFLIX.COM         866-579-7172,,,Netflix,unknown,,,Netflix.Com,0,,,,,,,Netflix.Com,local
RENTALTOLL571252005 877-860-1283,,,Toll,unknown,,,Unknown,1,,,,,,,Unknown,local
CITI CARD ONLINE PAYMENT 250331 MICHEL FALENI,,,Financial Transactions,unknown,,,Citi Card Michel Faleni,0,,,,,,,Citi Card Michel Faleni,local
RECURRING TRANSFER TO FALENI M CHECKING SUELDO MICH,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
RECURRING TRANSFER TO FALENI M PLATINUM SAVINGS,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
WAL-MART #2091 DORAL,,,WAL-MART,unknown,,,Wal-Mart Doral,0,,,,,,,Wal-Mart Doral,local
INTEREST PAYMENT,,,Financial Transactions,unknown,,,Payment,0,,,,,,,Payment,local
SANTANDER CONSUM BILLPAY,,,Car Mich,unknown,,,Santander Consum Billpay,0,,,,,,,Santander Consum Billpay,local
"BUS TELE SVCS DIRECT DEP 250331A2Q FALENI,MICHEL",,,BTS,unknown,,,Bus Tele Svcs Direct,0,,,,,,,Bus Tele Svcs Direct,local
"BUS TELE SVCS DIRECT DEP 250331A2Q FALENI,MICHEL",,,BUS TELE SVCS,unknown,,,Bus Tele Svcs Direct,0,,,,,,,Bus Tele Svcs Direct,local
INTEREST PAYMENT,,,Financial Transactions,unknown,,,Payment,0,,,,,,,Payment,local
ONLINE TRANSFER TO PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,To Personal Line Of,0,,,,,,,To Personal Line Of,local
SAKS O5 DOLPHIN 718 MIAMI,,,SAKS,unknown,,,Saks Dolphin Miami,0,,,,,,,Saks Dolphin Miami,local
DESIGNER OPTICS     718-412-0407,,,Designer Optics,unknown,,,Designer Optics,0,,,,,,,Designer Optics,local
PPDC DOWNTOWN DORAL DORAL,,,PPDC Downtown Doral,unknown,,,Ppdc Downtown Doral Doral,0,,,,,,,Ppdc Downtown Doral Doral,local
Viewline Resort SnowSnowmass Village,,,Viewline Resort,unknown,,,Viewline Resort Snowsnowmass Village,0,,,,,,,Viewline Resort Snowsnowmass Village,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
MEAT CLUB MARKET DORAL,,,MEAT CLUB MARKET,unknown,,,Meat Club Market Doral,0,,,,,,,Meat Club Market Doral,local
PUBLIX #1492 DORAL,,,Publix,unknown,,,Publix Doral,0,,,,,,,Publix Doral,local
TST*BEIRUT DORAL RESTA Miami,,,Beirut,unknown,,,Tst Beirut Doral Resta,0,,,,,,,Tst Beirut Doral Resta,local
UBER EATS           help.uber.com,,,Uber Eats,unknown,,,Uber Eats Help.Uber.Com,0,,,,,,,Uber Eats Help.Uber.Com,local
Viewline Resort SnowSnowmass Village,,,Viewline Resort,unknown,,,Viewline Resort Snowsnowmass Village,0,,,,,,,Viewline Resort Snowsnowmass Village,local
AMAZON MKTPL*7V7WI3413 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
DFW WHATABURGER - E27 DALLAS,,,Whataburger,unknown,,,Dfw Whataburger Dallas,0,,,,,,,Dfw Whataburger Dallas,local
MILLER SPOR,,,Miller Sport,unknown,,,Miller Spor,0,,,,,,,Miller Spor,local
SP STUSSY.COM IRVINE,,,Stussy,unknown,,,Sp Stussy.Com Irvine,0,,,,,,,Sp Stussy.Com Irvine,local
TRG DUTY FREE TERM D C MIAMI,,,TRG Duty Free,unknown,,,Trg Duty Free Term,0,,,,,,,Trg Duty Free Term,local
TST* ASPEN ONE - HIGH SNOWMASS VILL,,,ASPEN ONE,unknown,,,Tst Aspen One High,0,,,,,,,Tst Aspen One High,local
EVO.COM             SEATTLE,,,EVO,unknown,,,Evo.Com Seattle,0,,,,,,,Evo.Com Seattle,local
RENTALTOLL571252005 877-860-1283,,,Rental Toll,unknown,,,Unknown,1,,,,,,,Unknown,local
VENMO PAYMENT 250327 MICHEL FALENI,,,Tips,unknown,,,Venmo Payment Michel Faleni,0,,,,,,,Venmo Payment Michel Faleni,local
VENMO PAYMENT 250327 MICHEL FALENI,,,Tips,unknown,,,Venmo Payment Michel Faleni,0,,,,,,,Venmo Payment Michel Faleni,local
ZELLE TO ELIZABETH ON 03/26,,,Elizabeth,zelle,to,ELIZABETH ON 03,Zelle To ELIZABETH ON 03,0,,,,,,,Zelle To ELIZABETH ON 03,local
LITTLE NELL F & B ASPEN,,,LITTLE NELL F & B,unknown,,,Little Nell F B,0,,,,,,,Little Nell F B,local
TST*BETULA ASPEN Aspen,,,Betula Aspen,unknown,,,Tst Betula Aspen Aspen,0,,,,,,,Tst Betula Aspen Aspen,local
VENGA VENGA SNOWMASS VILL,,,Venga Venga,unknown,,,Venga Venga Snowmass Vill,0,,,,,,,Venga Venga Snowmass Vill,local
SP MILLER SPORTS ASPEN,,,SP MILLER SPORTS,unknown,,,Sp Miller Sports Aspen,0,,,,,,,Sp Miller Sports Aspen,local
TST*ROCK ISLAND OYSTER Snowmass Vill,,,Rock Island Oyster,unknown,,,Tst Rock Island Oyster,0,,,,,,,Tst Rock Island Oyster,local
INTERNATIONAL PURCHASE TRANSACTION FEE,,,Financial Transactions,unknown,,,International,0,,,,,,,International,local
RECURRING PAYMENT INTL AUTHORIZED ON 03/25 Amazon Prime*RW4VL amazon.es/prm LUX S465084294688290,,,Amazon,unknown,,,Recurring Payment Intl Authorized,0,,,,,,,Recurring Payment Intl Authorized,local
UBER,,,Uber,unknown,,,Uber,0,,,,,,,Uber,local
Viewline Resort SnowSnowmass Village,,,Viewline Resort,unknown,,,Viewline Resort Snowsnowmass Village,0,,,,,,,Viewline Resort Snowsnowmass Village,local
ZELLE TO KAYLA SNOWM ON 03/25,,,Kayla Snowm,zelle,to,KAYLA SNOWM ON 03,Zelle To KAYLA SNOWM ON 03,0,,,,,,,Zelle To KAYLA SNOWM ON 03,local
105 PIZZA + BOWL SNOWMASS VILL,,,105 Pizza + Bowl,unknown,,,Pizza Bowl Snowmass Vill,0,,,,,,,Pizza Bowl Snowmass Vill,local
CATCH STEAK ASPEN ASPEN,,,Catch Steak,unknown,,,Catch Steak Aspen Aspen,0,,,,,,,Catch Steak Aspen Aspen,local
HEALTHY PAWS PET I TRACIM@HEALTH PA S585082333015418,,,Healthy Paws Pet,unknown,,,Healthy Paws Pet I,0,,,,,,,Healthy Paws Pet I,local
ONLINE TRANSFER FROM BROUGH A EVERYDAY CHECKING DEVOLUCION PRESTAMO MONEY ORDER,,,Transfers,unknown,,,From Brough A Everyday,0,,,,,,,From Brough A Everyday,local
ONLINE TRANSFER TO BROUGH A EVERYDAY CHECKING GASTOS,,,Transfers,unknown,,,To Brough A Everyday,0,,,,,,,To Brough A Everyday,local
SUNPASS*ACC613078 888-865-5352 FL S305080254461166,,,SUNPASS,unknown,,,Sunpass Fl,0,,,,,,,Sunpass Fl,local
T-MOBILE PCS SVC 250323 5912907 MARIA FERNANDEZ,,,T-Mobile,unknown,,,T-Mobile Pcs Svc Maria,0,,,,,,,T-Mobile Pcs Svc Maria,local
"WF Credit Card AUTO PAY 250321 FALENI,MICHEL",,,Financial Transactions,unknown,,,Wf Card Auto Pay,0,,,,,,,Wf Card Auto Pay,local
UBER,,,Uber,unknown,,,Uber,0,,,,,,,Uber,local
SNOWMASS SPORTS SNOWMASS VLG,,,Snowmass Sports,unknown,,,Snowmass Sports Snowmass Vlg,0,,,,,,,Snowmass Sports Snowmass Vlg,local
TST* THE TAVERN KITCHE SNOWMASS VILL,,,The Tavern Kitchen,unknown,,,Tst The Tavern Kitche,0,,,,,,,Tst The Tavern Kitche,local
VENGA VENGA SNOWMASS VILL,,,Venga Venga,unknown,,,Venga Venga Snowmass Vill,0,,,,,,,Venga Venga Snowmass Vill,local
FOUR MOUNTAIN SPORTS BASALT,,,Four Mountain Sports,unknown,,,Four Mountain Sports Basalt,0,,,,,,,Four Mountain Sports Basalt,local
GRUB THAI LLC SNOWMASS,,,Grub Thai,unknown,,,Grub Thai Llc Snowmass,0,,,,,,,Grub Thai Llc Snowmass,local
JUAN VALDEZ CAFE 93 AC MIAMI,,,Juan Valdez Cafe,unknown,,,Juan Valdez Cafe Ac,0,,,,,,,Juan Valdez Cafe Ac,local
UBER *TRIP,,,Uber,unknown,,,Uber Trip,0,,,,,,,Uber Trip,local
AUTOPAY PAYMENT - THANK YOU,,,Financial Transactions,unknown,,,Autopay Payment Thank You,0,,,,,,,Autopay Payment Thank You,local
UBER,,,Uber,unknown,,,Uber,0,,,,,,,Uber,local
UBER,,,Uber,unknown,,,Uber,0,,,,,,,Uber,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
AMAZON RETA* 7M73Z6LN3 SEATTLE,,,Amazon,unknown,,,Amazon Reta Seattle,0,,,,,,,Amazon Reta Seattle,local
UBER *TRIP,,,Uber,unknown,,,Uber Trip,0,,,,,,,Uber Trip,local
CHEVRON 0371873 855-285-9595,,,Chevron,unknown,,,Chevron,0,,,,,,,Chevron,local
MPA PARKING PAY BY PHO MIAMI,,,MPA Parking,unknown,,,Mpa Parking Pay By,0,,,,,,,Mpa Parking Pay By,local
SAMSCLUB.COM 888-746-7726,,,Sam's Club,unknown,,,Samsclub.Com,0,,,,,,,Samsclub.Com,local
SP SPORTS BASEMENT I SAN FRANCISCO,,,Sports Basement,unknown,,,Sp Sports Basement I,0,,,,,,,Sp Sports Basement I,local
TST*SPIZZIGO - LA GRIG Doral,,,Spizzigo,unknown,,,Tst Spizzigo La Grig,0,,,,,,,Tst Spizzigo La Grig,local
CHECK # 1715,,,Check,unknown,,,Check,0,,,,,,,Check,local
